run_id,category,report,configuration,code_observed,missing_reason,production_code_lines,production_code_tokens,run_total_tokens,run_cost_usd,code_token_share_of_run,source_path
abs-stepped-slices-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,262,2195,2329711,2.097104,0.000942177,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/abs-stepped-slices/codex-cli-high/abs-stepped-slices-codex-cli-high-run-01/metadata/contracts/harness-report.json
actionlint-action-pinning-lint-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,382,3226,5160181,3.99267,0.000625172,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/actionlint-action-pinning-lint/codex-cli-high/actionlint-action-pinning-lint-codex-cli-high-run-01/metadata/contracts/harness-report.json
awilix-async-container-initialization-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,528,3667,6670981,4.983707,0.000549694,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/awilix-async-container-initialization/codex-cli-high/awilix-async-container-initialization-codex-cli-high-run-01/metadata/contracts/harness-report.json
bandit-incremental-cache-control-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,638,4260,5050399,3.945945,0.000843498,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/bandit-incremental-cache-control/codex-cli-high/bandit-incremental-cache-control-codex-cli-high-run-01/metadata/contracts/harness-report.json
boa-hierarchical-evaluation-cancellation-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,368,2618,5243610,4.098355,0.000499274,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/boa-hierarchical-evaluation-cancellation/codex-cli-high/boa-hierarchical-evaluation-cancellation-codex-cli-high-run-01/metadata/contracts/harness-report.json
csstree-shorthand-expansion-compression-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,707,4874,2074511,2.360511,0.002349469,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/csstree-shorthand-expansion-compression/codex-cli-high/csstree-shorthand-expansion-compression-codex-cli-high-run-01/metadata/contracts/harness-report.json
dasel-html-document-format-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,804,6070,2819608,2.56987,0.002152782,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/dasel-html-document-format/codex-cli-high/dasel-html-document-format-codex-cli-high-run-01/metadata/contracts/harness-report.json
dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,824,6171,22429776,13.506735,0.000275125,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/dynamodb-toolbox-conditional-attribute-requirements/codex-cli-high/dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-01/metadata/contracts/harness-report.json
fd-deterministic-multi-key-sorting-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,445,3215,9003031,6.241573,0.000357102,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/fd-deterministic-multi-key-sorting/codex-cli-high/fd-deterministic-multi-key-sorting-codex-cli-high-run-01/metadata/contracts/harness-report.json
happy-dom-abort-pending-body-reads-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,260,2017,14609867,9.237151,0.000138057,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/happy-dom-abort-pending-body-reads/codex-cli-high/happy-dom-abort-pending-body-reads-codex-cli-high-run-01/metadata/contracts/harness-report.json
katex-multicolumn-array-spans-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,240,2289,3217791,2.807938,0.000711358,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/katex-multicolumn-array-spans/codex-cli-high/katex-multicolumn-array-spans-codex-cli-high-run-01/metadata/contracts/harness-report.json
langchain-request-coalescing-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,978,6400,8467354,7.300504,0.000755844,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/langchain-request-coalescing/codex-cli-high/langchain-request-coalescing-codex-cli-high-run-01/metadata/contracts/harness-report.json
narwhals-rolling-window-suite-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,708,5223,5798775,4.577206,0.000900707,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/narwhals-rolling-window-suite/codex-cli-high/narwhals-rolling-window-suite-codex-cli-high-run-01/metadata/contracts/harness-report.json
numba-stencil-boundary-modes-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,249,2505,3421686,2.945093,0.000732095,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/numba-stencil-boundary-modes/codex-cli-high/numba-stencil-boundary-modes-codex-cli-high-run-01/metadata/contracts/harness-report.json
pest-character-class-coalescing-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,533,4236,5370063,4.027241,0.000788818,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/pest-character-class-coalescing/codex-cli-high/pest-character-class-coalescing-codex-cli-high-run-01/metadata/contracts/harness-report.json
quill-shared-toolbar-focus-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,408,2929,9481720,6.845779,0.00030891,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/quill-shared-toolbar-focus/codex-cli-high/quill-shared-toolbar-focus-codex-cli-high-run-01/metadata/contracts/harness-report.json
testem-per-launcher-reports-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,296,2371,4051551,3.420968,0.000585208,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/testem-per-launcher-reports/codex-cli-high/testem-per-launcher-reports-codex-cli-high-run-01/metadata/contracts/harness-report.json
