operation,command_family,official_savings_rate,eligible_calls,observed_output_tokens,estimated_saved_tokens,observed_first_input_cost_usd,estimated_first_input_cost_saved_usd,full_retention_saved_cost_usd,uniform_90_full_retention_saved_cost_usd,example_commands
ls_tree,ls / tree,0.8,29,13348,10678.4,0.06674,0.053392,0.4303312,0.4841226,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-95283d7695e2248786-agent bash -lc 'ls -la; test -f AGENTS.md && sed -n \""1,240p\"" AGENTS.md || true; te... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-131b067ad339588545-agent bash -lc 'ls -la'"",""workdir"":""C:\\Users\\liuliu\\Documents\\tura-benchmark\\ra... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-6f6e60ae01cf310e7a-agent bash -lc 'ls packages'"",""workdir"":""C:\\Users\\liuliu\\Documents\\tura-benchmar..."
read,cat / head / tail / rtk read,0.7,164,254353,178047.1,1.271765,0.8902355,6.4551543,8.2994841,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'find . -name \""*.go\"" -type f -print | sort | head -n 250'"",""timeout... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'sed -n \""60,230p\"" evaluator/evaluator.go | tail -n 30; sed -n \""380... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'ps -eo pid,ppid,stat,etime,cmd | head -n 80'"",""timeout_ms"":10000}); ..."
grep,grep / rg / rtk grep,0.8,377,872740,698192.0,4.3637,3.49096,22.2088692,24.98497785,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'grep -RIn \""func logErrorWithPosition\"" --include=\""*.go\"" .'"",""time... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'grep -n \""func logErrorWithPosition\"" evaluator/evaluator_test.go'"",... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9c3f565737ea3555e7-agent bash -lc 'pwd && printf \""\\nTop-level files:\\n\"" && rg --files -g \""AGENTS.m..."
git_status,git status,0.8,82,29147,23317.6,0.145735,0.116588,0.8528816,0.9594918,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9c3f565737ea3555e7-agent bash -lc 'git status --short; sed -n \""1,260p\"" config.go; sed -n \""1,260p\"" r... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9c3f565737ea3555e7-agent bash -lc 'if command -v staticcheck >/dev/null 2>&1; then staticcheck .; else ... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-31401af4c2921dde87-agent bash -lc 'git status --short && printf \""CONTAINER-2\\n\"" && sed -n \""280,760p..."
git_diff,git diff,0.75,90,142160,106620.0,0.7108,0.5331,1.874605125,2.24952615,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9c3f565737ea3555e7-agent bash -lc 'git diff -- command.go config.go linter.go docs/config.md | sed -n \... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-31401af4c2921dde87-agent bash -lc 'git diff -- src/errors.ts src/resolvers.ts src/container.ts src/awil... | const p = await tools.update_plan({explanation:""The lexer now has table-driven shorthand metadata plus match-tree extraction for component, background, and font shorthands."",""pl..."
git_log,git log,0.8,11,2911,2328.8,0.014555,0.011644,0.0651752,0.0733221,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-3a968498f650e0f7a0-agent bash -lc 'git log --all --oneline --decorate -20 && git branch -a'"",""workdir"":... | {""command"":[""powershell.exe"",""-Command"",""docker exec -w /app tura-ds-b36fe7cc7c3640de90-agent bash -lc 'git log -5 --oneline'""],""timeout_ms"":120000} | {""command"":[""powershell.exe"",""-Command"",""docker exec -w /app tura-ds-67f8a061e586248685-agent bash -lc \""git log -1 --format='%an%n%ae'\""""],""timeout_ms"":20000}"
git_write,git add / commit / push,0.92,6,394,362.48,0.00197,0.0018124,0.00243156,0.0023787,"{""command"":[""powershell.exe"",""-Command"",""docker exec -w /app tura-ds-a4775e2106a79eaa97-agent bash -lc 'git config --local --get user.name; git config --local --get user.email; ... | {""command"":[""powershell.exe"",""-Command"",""docker exec -w /app tura-ds-a4775e2106a79eaa97-agent bash -lc 'git commit -m \""Add incremental analysis caching\""'""],""timeout_ms"":120000} | {""command"":[""powershell.exe"",""-Command"",""docker exec -w /app tura-ds-1585360309c0e0468b-agent bash -lc 'git config user.name; git config user.email; git commit -m \""Add conditio..."
cargo_npm_test,cargo test / npm test,0.9,109,82895,74605.5,0.414475,0.3730275,1.10099925,1.10099925,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-daf9d3cf9516260113-agent bash -lc 'cargo test -p boa_engine tests::evaluation --lib'"",""timeout_ms"":3000... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-08b0fdd1ac1381712e-agent bash -lc 'cargo fmt --all -- --check && cargo test --no-default-features sort:... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-08b0fdd1ac1381712e-agent bash -lc 'cargo fmt --all && cargo test --no-default-features sort::tests'"",""w..."
ruff_check,ruff check,0.8,14,2865,2292.0,0.014325,0.01146,0.0464732,0.05228235,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-53552afc4e8278f57f-agent bash -lc 'cd libs/core && uv run --group lint ruff format langchain_core/runna... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-c085f588d70790cec1-agent bash -lc 'uv run --offline ruff format narwhals/_arrow/series.py narwhals/_com... | const r = await tools.shell_command({""command"":""docker exec -w /app tura-ds-13f9b8c7b4d04e823d-agent bash -lc 'ruff check narwhals/_arrow/series.py narwhals/_compliant/column.py..."
pytest,pytest,0.9,80,30120,27108.0,0.1506,0.13554,0.3855762,0.3855762,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-53552afc4e8278f57f-agent bash -lc 'PYTHONPATH=libs/core pytest -q libs/core/tests/unit_tests/runnables/... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-53552afc4e8278f57f-agent bash -lc 'PYTHONUNBUFFERED=1 PYTHONPATH=libs/core timeout 75s pytest -vv -s li... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-53552afc4e8278f57f-agent bash -lc 'PYTHONUNBUFFERED=1 PYTHONPATH=libs/core timeout 300s pytest -vv -s l..."
go_test,go test,0.9,120,27994,25194.6,0.13997,0.125973,0.35057745,0.35057745,"const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'gofmt -w ast/ast.go parser/parser.go evaluator/evaluator.go && go te... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'kill -9 1692 1709 2>/dev/null || true; pkill -9 -f \""go test ./ast .... | const r = await tools.shell_command({command:""docker exec -w /app tura-ds-9385c5a2c3922f9dc0-agent bash -lc 'go test ./parser -run \""TestParsing(SteppedIndexRangeExpressions|Ind..."
docker_ps,docker ps,0.8,0,0,0.0,0.0,0.0,0.0,0.0,
