run_id,task,agent,replicate,source_lines,source_line_source,source_files,passed,checks,success_rate
eza-codex-cli-gpt56-sol-run-01,eza,codex-cli,1,1157,published-workspace-production-python,eza_port.py,42,52,0.8076923076923077
eza-codex-cli-gpt56-sol-run-02,eza,codex-cli,2,822,published-workspace-production-python,eza_port.py,32,52,0.6153846153846154
eza-tura-balanced-gpt56-sol-run-01,eza,tura-balanced,1,1035,published-workspace-production-python,eza_port.py,48,52,0.9230769230769231
eza-tura-balanced-gpt56-sol-run-02,eza,tura-balanced,2,967,published-workspace-production-python,eza_port.py,45,52,0.8653846153846154
eza-tura-direct-gpt56-sol-run-01,eza,tura-direct,1,962,published-workspace-production-python,eza_port.py,37,52,0.7115384615384616
eza-tura-direct-gpt56-sol-run-02,eza,tura-direct,2,966,published-workspace-production-python,compile_entrypoint.py;eza_port.py,46,52,0.8846153846153846
nushell-codex-cli-gpt56-sol-run-01,nushell,codex-cli,1,,unrecoverable-untracked-source,,23,48,0.4791666666666667
nushell-codex-cli-gpt56-sol-run-02,nushell,codex-cli,2,,unrecoverable-untracked-source,,36,48,0.75
nushell-tura-balanced-gpt56-sol-run-01,nushell,tura-balanced,1,794,published-workspace-production-python,nushell_port.py,35,48,0.7291666666666666
nushell-tura-balanced-gpt56-sol-run-02,nushell,tura-balanced,2,1304,published-workspace-production-python,nushell_port.py,36,48,0.75
nushell-tura-direct-gpt56-sol-run-01,nushell,tura-direct,1,753,published-workspace-production-python,nushell_port.py,29,48,0.6041666666666666
nushell-tura-direct-gpt56-sol-run-02,nushell,tura-direct,2,770,published-workspace-production-python,nushell_port.py,32,48,0.6666666666666666
prompt-gallery-tanstack-fullstack-rebuild-codex-cli-gpt56-sol-run-01,prompt-gallery-tanstack-fullstack-rebuild,codex-cli,1,684,summary.comparison.scores.source_lines,,60,63,0.9523809523809523
prompt-gallery-tanstack-fullstack-rebuild-codex-cli-gpt56-sol-run-02,prompt-gallery-tanstack-fullstack-rebuild,codex-cli,2,1673,summary.comparison.scores.source_lines,,63,63,1.0
prompt-gallery-tanstack-fullstack-rebuild-tura-balanced-gpt56-sol-run-01,prompt-gallery-tanstack-fullstack-rebuild,tura-balanced,1,835,summary.comparison.scores.source_lines,,59,63,0.9365079365079365
prompt-gallery-tanstack-fullstack-rebuild-tura-balanced-gpt56-sol-run-02,prompt-gallery-tanstack-fullstack-rebuild,tura-balanced,2,742,summary.comparison.scores.source_lines,,62,63,0.9841269841269841
prompt-gallery-tanstack-fullstack-rebuild-tura-direct-gpt56-sol-run-01,prompt-gallery-tanstack-fullstack-rebuild,tura-direct,1,656,summary.comparison.scores.source_lines,,60,63,0.9523809523809523
prompt-gallery-tanstack-fullstack-rebuild-tura-direct-gpt56-sol-run-02,prompt-gallery-tanstack-fullstack-rebuild,tura-direct,2,593,summary.comparison.scores.source_lines,,59,63,0.9365079365079365
xsv-codex-cli-gpt56-sol-run-01,xsv,codex-cli,1,,unrecoverable-untracked-source,,25,55,0.45454545454545453
xsv-codex-cli-gpt56-sol-run-02,xsv,codex-cli,2,,unrecoverable-untracked-source,,35,55,0.6363636363636364
xsv-tura-balanced-gpt56-sol-run-01,xsv,tura-balanced,1,1053,published-workspace-production-python,xsv_commands.py;xsv_core.py;xsv_port.py,32,55,0.5818181818181818
xsv-tura-balanced-gpt56-sol-run-02,xsv,tura-balanced,2,1111,published-workspace-production-python,xsv_port.py,36,55,0.6545454545454545
xsv-tura-direct-gpt56-sol-run-01,xsv,tura-direct,1,803,published-workspace-production-python,xsv_port.py,27,55,0.4909090909090909
xsv-tura-direct-gpt56-sol-run-02,xsv,tura-direct,2,644,published-workspace-production-python,xsv_port.py,27,55,0.4909090909090909
zip-password-finder-codex-cli-gpt56-sol-run-01,zip-password-finder,codex-cli,1,,unrecoverable-untracked-source,,17,18,0.9444444444444444
zip-password-finder-codex-cli-gpt56-sol-run-02,zip-password-finder,codex-cli,2,,unrecoverable-untracked-source,,18,18,1.0
zip-password-finder-tura-balanced-gpt56-sol-run-01,zip-password-finder,tura-balanced,1,476,published-workspace-production-python,main.py,18,18,1.0
zip-password-finder-tura-balanced-gpt56-sol-run-02,zip-password-finder,tura-balanced,2,575,published-workspace-production-python,zip_password_finder_port.py,18,18,1.0
zip-password-finder-tura-direct-gpt56-sol-run-01,zip-password-finder,tura-direct,1,524,published-workspace-production-python,main.py,18,18,1.0
zip-password-finder-tura-direct-gpt56-sol-run-02,zip-password-finder,tura-direct,2,402,published-workspace-production-python,zip_password_finder_port.py,18,18,1.0
